Mã PKKH,Mã khách hàng,Total Days
C1,CUZ00001,0.0
B1,CUZ00002,0.0
A3,CUZ00003,45.5
B3,CUZ00004,0.0
A1,CUZ00005,0.0
B3,CUZ00006,0.0
C1,CUZ00007,0.0
C1,CUZ00008,0.0
B1,CUZ00009,0.0
B3,CUZ00010,0.0
C2,CUZ00011,0.0
A1,CUZ00012,66.5
B3,CUZ00013,0.0
A1,CUZ00014,0.0
A3,CUZ00015,0.0
C1,CUZ00016,0.0
A3,CUZ00017,0.0
B3,CUZ00018,0.0
B3,CUZ00019,0.0
A3,CUZ00020,0.0
B1,CUZ00021,0.0
A1,CUZ00022,0.0
A1,CUZ00023,0.0
C2,CUZ00024,83.0
B3,CUZ00025,0.0
A3,CUZ00026,0.0
A3,CUZ00027,0.0
B2,CUZ00028,0.0
A2,CUZ00029,0.0
C1,CUZ00030,0.0
A3,CUZ00031,0.0
A3,CUZ00032,0.0
C2,CUZ00033,0.0
A3,CUZ00034,0.0
A2,CUZ00035,140.0
B2,CUZ00036,0.0
B3,CUZ00037,0.0
A3,CUZ00038,0.0
B2,CUZ00039,0.0
A3,CUZ00040,0.0
A3,CUZ00041,0.0
A1,CUZ00042,58.8
A2,CUZ00043,0.0
A3,CUZ00044,0.0
A1,CUZ00045,0.0
B2,CUZ00046,0.0
A2,CUZ00047,0.0
A3,CUZ00048,0.0
B3,CUZ00049,0.0
C3,CUZ00050,0.0
C2,CUZ00051,0.0
C2,CUZ00052,0.0
A3,CUZ00053,0.0
C3,CUZ00054,0.0
B1,CUZ00055,0.0
B3,CUZ00056,0.0
B1,CUZ00057,0.0
B3,CUZ00058,0.0
B1,CUZ00059,0.0
C3,CUZ00060,0.0
B2,CUZ00061,0.0
A3,CUZ00062,0.0
B1,CUZ00063,260.0
B1,CUZ00064,0.0
A1,CUZ00065,58.0
C1,CUZ00066,0.0
B1,CUZ00067,0.0
B3,CUZ00068,0.0
B1,CUZ00069,0.0
A2,CUZ00070,56.0
B2,CUZ00071,0.0
A1,CUZ00072,31.0
B2,CUZ00073,0.0
B2,CUZ00074,0.0
C2,CUZ00075,0.0
A2,CUZ00076,0.0
C2,CUZ00077,0.0
A3,CUZ00078,0.0
A2,CUZ00079,0.0
C1,CUZ00080,0.0
A1,CUZ00081,0.0
A3,CUZ00082,0.0
B2,CUZ00083,0.0
C2,CUZ00084,0.0
B2,CUZ00085,0.0
B3,CUZ00086,0.0
C3,CUZ00087,0.0
A3,CUZ00088,0.0
A3,CUZ00089,0.0
A3,CUZ00090,0.0
A1,CUZ00091,0.0
B1,CUZ00092,0.0
B1,CUZ00093,0.0
A3,CUZ00094,0.0
A1,CUZ00095,0.0
A2,CUZ00096,0.0
B3,CUZ00097,0.0
A3,CUZ00098,0.0
A2,CUZ00099,0.0
C1,CUZ00100,0.0
B2,CUZ00101,0.0
A1,CUZ00102,0.0
A2,CUZ00103,0.0
B3,CUZ00104,0.0
A1,CUZ00105,104.7
B2,CUZ00106,75.0
C2,CUZ00107,0.0
C1,CUZ00108,0.0
A1,CUZ00109,0.0
A3,CUZ00110,0.0
A1,CUZ00111,0.0
A1,CUZ00112,62.3
C1,CUZ00113,0.0
B3,CUZ00114,0.0
C2,CUZ00115,0.0
A3,CUZ00116,0.0
A1,CUZ00117,0.0
B1,CUZ00118,0.0
B2,CUZ00119,0.0
B2,CUZ00120,0.0
A1,CUZ00121,58.2
A3,CUZ00122,0.0
B2,CUZ00123,0.0
C2,CUZ00124,0.0
B2,CUZ00125,0.0
A1,CUZ00126,0.0
A1,CUZ00127,0.0
B2,CUZ00128,0.0
A1,CUZ00129,0.0
A2,CUZ00130,0.0
B3,CUZ00131,0.0
C2,CUZ00132,0.0
A2,CUZ00133,0.0
B3,CUZ00134,0.0
A2,CUZ00135,0.0
C1,CUZ00136,0.0
C3,CUZ00137,0.0
B1,CUZ00138,0.0
B2,CUZ00139,0.0
A1,CUZ00140,0.0
B3,CUZ00141,0.0
B2,CUZ00142,0.0
A2,CUZ00143,0.0
A1,CUZ00144,0.0
A1,CUZ00145,87.0
B3,CUZ00146,0.0
A3,CUZ00147,38.4
A2,CUZ00148,0.0
A3,CUZ00149,0.0
B1,CUZ00150,0.0
A2,CUZ00151,0.0
C1,CUZ00152,0.0
A3,CUZ00153,0.0
C1,CUZ00154,0.0
B3,CUZ00155,0.0
C3,CUZ00156,0.0
B1,CUZ00157,0.0
A3,CUZ00158,0.0
A2,CUZ00159,0.0
A3,CUZ00160,0.0
A2,CUZ00161,0.0
B1,CUZ00162,0.0
A3,CUZ00163,0.0
C1,CUZ00164,0.0
A3,CUZ00165,0.0
B3,CUZ00166,0.0
A1,CUZ00167,59.2
B1,CUZ00168,0.0
A1,CUZ00169,0.0
B1,CUZ00170,0.0
B2,CUZ00171,0.0
A1,CUZ00172,43.7
A2,CUZ00173,204.0
B2,CUZ00174,0.0
B3,CUZ00175,0.0
A2,CUZ00176,0.0
A1,CUZ00177,0.0
B1,CUZ00178,0.0
A1,CUZ00179,55.0
C2,CUZ00180,0.0
C2,CUZ00181,0.0
B2,CUZ00182,0.0
B1,CUZ00183,0.0
B2,CUZ00184,0.0
A2,CUZ00185,221.0
B2,CUZ00186,0.0
B1,CUZ00187,0.0
A1,CUZ00188,0.0
B2,CUZ00189,0.0
C1,CUZ00190,0.0
A1,CUZ00191,0.0
B2,CUZ00192,0.0
A2,CUZ00193,0.0
