Mã PKKH,Mã khách hàng,Date,Month,customer status,left yet
C1,CUZ00001,2022-01-01,01,old customer from last year,left
B1,CUZ00002,2022-01-01,01,old customer from last year,left
A3,CUZ00003,2022-01-01,01,new customer,still staying
A3,CUZ00003,2022-02-03,02,old customer from THIS year,still staying
A3,CUZ00003,2022-04-02,04,old customer from THIS year,left
B3,CUZ00004,2022-01-01,01,old customer from last year,left
A1,CUZ00005,2022-01-01,01,old customer from last year,left
B3,CUZ00006,2022-01-01,01,old customer from last year,left
C1,CUZ00007,2022-01-01,01,old customer from last year,left
C1,CUZ00008,2022-01-01,01,old customer from last year,left
B1,CUZ00009,2022-01-01,01,old customer from last year,left
B3,CUZ00010,2022-01-01,01,old customer from last year,left
C2,CUZ00011,2022-01-01,01,old customer from last year,left
A1,CUZ00012,2022-01-02,01,new customer,still staying
A1,CUZ00012,2022-03-11,03,old customer from THIS year,still staying
A1,CUZ00012,2022-05-14,05,old customer from THIS year,still staying
A1,CUZ00012,2022-07-03,07,old customer from THIS year,still staying
A1,CUZ00012,2022-09-25,09,old customer from THIS year,still staying
B3,CUZ00013,2022-01-02,01,old customer from last year,left
A1,CUZ00014,2022-01-02,01,old customer from last year,left
A3,CUZ00015,2022-01-02,01,old customer from last year,left
C1,CUZ00016,2022-01-02,01,old customer from last year,left
A3,CUZ00017,2022-01-02,01,old customer from last year,left
B3,CUZ00018,2022-01-02,01,old customer from last year,left
B3,CUZ00019,2022-01-02,01,old customer from last year,left
A3,CUZ00020,2022-01-02,01,old customer from last year,left
B1,CUZ00021,2022-01-02,01,old customer from last year,left
A1,CUZ00022,2022-01-02,01,old customer from last year,left
A1,CUZ00023,2022-01-02,01,old customer from last year,left
C2,CUZ00024,2022-01-02,01,new customer,still staying
C2,CUZ00024,2022-03-26,03,old customer from THIS year,left
B3,CUZ00025,2022-01-03,01,new customer,left
A3,CUZ00026,2022-01-03,01,old customer from last year,left
A3,CUZ00027,2022-01-03,01,old customer from last year,left
B2,CUZ00028,2022-01-03,01,new customer,left
A2,CUZ00029,2022-01-03,01,old customer from last year,left
C1,CUZ00030,2022-01-03,01,old customer from last year,left
A3,CUZ00031,2022-01-03,01,old customer from last year,left
A3,CUZ00032,2022-01-03,01,old customer from last year,left
C2,CUZ00033,2022-01-03,01,old customer from last year,left
A3,CUZ00034,2022-01-03,01,old customer from last year,left
A2,CUZ00035,2022-01-04,01,new customer,still staying
A2,CUZ00035,2022-05-24,05,old customer from THIS year,left
B2,CUZ00036,2022-01-04,01,new customer,left
B3,CUZ00037,2022-01-04,01,new customer,left
A3,CUZ00038,2022-01-04,01,old customer from last year,left
B2,CUZ00039,2022-01-04,01,new customer,left
A3,CUZ00040,2022-01-04,01,old customer from last year,left
A3,CUZ00041,2022-01-04,01,old customer from last year,left
A1,CUZ00042,2022-01-04,01,new customer,still staying
A1,CUZ00042,2022-03-09,03,old customer from THIS year,still staying
A1,CUZ00042,2022-04-24,04,old customer from THIS year,still staying
A1,CUZ00042,2022-05-18,05,old customer from THIS year,still staying
A1,CUZ00042,2022-07-03,07,old customer from THIS year,still staying
A1,CUZ00042,2022-09-02,09,old customer from THIS year,still staying
A1,CUZ00042,2022-12-23,12,old customer from THIS year,still staying
A2,CUZ00043,2022-01-04,01,old customer from last year,left
A3,CUZ00044,2022-01-04,01,old customer from last year,left
A1,CUZ00045,2022-01-05,01,old customer from last year,left
B2,CUZ00046,2022-01-05,01,new customer,left
A2,CUZ00047,2022-01-05,01,old customer from last year,left
A3,CUZ00048,2022-01-05,01,old customer from last year,left
B3,CUZ00049,2022-01-05,01,new customer,left
C3,CUZ00050,2022-01-05,01,new customer,left
C2,CUZ00051,2022-01-05,01,old customer from last year,left
C2,CUZ00052,2022-01-05,01,old customer from last year,left
A3,CUZ00053,2022-01-05,01,old customer from last year,left
C3,CUZ00054,2022-01-05,01,new customer,left
