Tên mặt hàng,Đơn giá,Rank mức rẻ,Tỉ lệ lợi nhuận,Rank TL lời,Rank tiền lời,Rank mức doanh thu,Rank tổng lợi nhuận,Rank mức SL bán
Miến rau câu keto,"35,000",1,29%,2,31,29,23,9
Bánh gạo lứt nguyên hạt,"40,000",2,20%,10,32,30,29,15
Bún gạo lứt,"50,000",3,34%,1,17,20,3,3
Nui ngũ sắc Fuma,"55,000",4,22%,7,27,21,15,4
Phở gạo lứt,"55,000",4,22%,7,27,21,15,4
Yến mạch,"55,000",4,27%,5,20,24,9,7
Khoai dẻo không đường,"60,000",7,28%,4,16,27,18,13
Sữa gạo Hàn Quốc,"60,000",7,25%,6,22,26,20,12
Ngũ Cốc Yến Mạch Hạnh Nhân Hạt Chia,"70,000",9,17%,14,29,32,31,30
Bánh điều ngũ cốc,"95,000",10,28%,3,4,23,7,19
Bún ngũ sắc,"95,000",10,16%,15,18,13,4,2
Nho khô 3 màu,"125,000",12,12%,21,24,18,24,23
Bánh Biscotti,"130,000",13,19%,12,8,6,2,6
Táo đỏ khô Hàn Quốc,"135,000",14,15%,16,14,15,13,16
Bánh chuối yến mạch,"140,000",15,14%,17,13,25,25,28
Bánh mì hoa cúc pháp,"145,000",16,17%,13,7,17,10,20
Granola,"150,000",17,10%,23,25,1,1,1
Hạt hạnh nhân,"160,000",18,9%,24,22,9,19,10
Chà là nguyên cành,"165,000",19,9%,25,21,19,28,27
Đường hộp ăn kiêng,"165,000",19,12%,19,10,5,5,8
Hạt chia Úc,"165,000",19,12%,20,11,10,8,11
Ngũ cốc Navan,"170,000",22,21%,9,1,31,30,32
Ngũ cốc Sấy khô Calbee (đỏ),"180,000",23,19%,11,2,16,6,24
Ngũ cốc Sấy khô Calbee (trắng),"180,000",23,14%,18,6,14,12,22
Sữa óc chó hạnh nhân đậu đen Hàn Quốc,"185,000",25,5%,31,30,7,27,14
Bánh ngũ cốc hữu cơ Annie's organic chewy granola bars chocolate chip,"195,000",26,8%,26,19,11,21,18
Ngũ Cốc Hồn Hợp Familia Bio Organic,"195,000",26,7%,29,26,28,32,31
Sữa 9 loại hạt Vinamilk Super Nut,"240,000",28,10%,22,9,8,14,21
Bơ đậu phộng Skippy,"295,000",29,7%,28,12,3,17,17
Bột ngũ cốc hàn quốc Damtuh,"325,000",30,8%,27,5,12,22,29
Sữa Tươi Hữu Cơ TH True Milk Organic,"389,000",31,4%,32,15,4,26,26
Sữa nghệ Amilac Milk Organic,"450,000",32,7%,30,3,2,11,25
