Mã PKKH,Mã khách hàng,Thành tiền
A1,CUZ00005,1795000
A1,CUZ00012,3905000
A1,CUZ00014,1195000
A1,CUZ00022,1260000
A1,CUZ00023,1350000
A1,CUZ00042,9135000
A1,CUZ00045,925000
A1,CUZ00065,9467000
A1,CUZ00072,1670000
A1,CUZ00081,755000
A1,CUZ00091,1070000
A1,CUZ00095,1895000
A1,CUZ00102,2324000
A1,CUZ00105,4813000
A1,CUZ00109,1075000
A1,CUZ00111,1565000
A1,CUZ00112,2380000
A1,CUZ00117,1440000
A1,CUZ00121,5405000
A1,CUZ00126,535000
A1,CUZ00127,1195000
A1,CUZ00129,1520000
A1,CUZ00140,1045000
A1,CUZ00144,1660000
A1,CUZ00145,2980000
A1,CUZ00167,4110000
A1,CUZ00169,815000
A1,CUZ00172,4395000
A1,CUZ00177,870000
A1,CUZ00179,3645000
A1,CUZ00188,995000
A1,CUZ00191,1515000
A1,CUZ00207,4080000
A1,CUZ00213,5784000
A1,CUZ00219,1245000
A1,CUZ00221,4095000
A1,CUZ00226,2180000
A1,CUZ00228,1205000
A1,CUZ00238,1165000
A1,CUZ00239,1040000
A1,CUZ00246,2035000
A1,CUZ00247,3055000
A1,CUZ00253,2999000
A1,CUZ00270,1185000
A1,CUZ00277,6960000
A1,CUZ00294,205000
A1,CUZ00295,495000
A1,CUZ00297,655000
A1,CUZ00309,1175000
A1,CUZ00315,1305000
A1,CUZ00323,705000
A1,CUZ00330,9400000
A1,CUZ00331,7624000
A1,CUZ00334,775000
A1,CUZ00338,470000
A1,CUZ00341,2370000
A1,CUZ00344,1730000
A1,CUZ00352,1065000
A1,CUZ00362,1405000
A1,CUZ00373,2865000
A1,CUZ00374,2525000
A1,CUZ00377,930000
A1,CUZ00382,1465000
A1,CUZ00387,880000
A1,CUZ00389,540000
A1,CUZ00391,415000
A1,CUZ00397,1040000
A1,CUZ00402,3215000
A1,CUZ00411,2390000
A1,CUZ00419,2555000
A1,CUZ00436,930000
A1,CUZ00439,755000
A1,CUZ00440,955000
A1,CUZ00448,755000
A1,CUZ00450,485000
A1,CUZ00452,5935000
A1,CUZ00464,625000
A1,CUZ00503,750000
A1,CUZ00505,7420000
A1,CUZ00518,2125000
A1,CUZ00520,4479000
A1,CUZ00527,740000
A1,CUZ00532,580000
A1,CUZ00533,5295000
A1,CUZ00540,715000
A1,CUZ00546,850000
A1,CUZ00547,2374000
A1,CUZ00548,1550000
A1,CUZ00549,4235000
A1,CUZ00551,550000
A1,CUZ00553,3175000
A1,CUZ00554,8889000
A1,CUZ00555,1815000
A1,CUZ00557,2084000
A1,CUZ00565,5100000
A1,CUZ00568,825000
A1,CUZ00569,945000
A1,CUZ00571,795000
A1,CUZ00572,710000
A1,CUZ00574,870000
A1,CUZ00576,1240000
A1,CUZ00578,1090000
A1,CUZ00584,520000
A1,CUZ00585,2930000
A1,CUZ00586,1955000
A1,CUZ00587,665000
A1,CUZ00588,1305000
A1,CUZ00591,985000
A1,CUZ00592,690000
A1,CUZ00594,1450000
A1,CUZ00599,4000000
A1,CUZ00600,630000
A1,CUZ00604,660000
A1,CUZ00609,4455000
A1,CUZ00611,1915000
A1,CUZ00612,1300000
A1,CUZ00618,3404000
A1,CUZ00619,685000
A1,CUZ00621,630000
A1,CUZ00622,4950000
A1,CUZ00623,6219000
A1,CUZ00627,1070000
A1,CUZ00637,1290000
A1,CUZ00638,4489000
A1,CUZ00643,1275000
A1,CUZ00644,920000
A1,CUZ00652,7200000
A1,CUZ00653,1855000
A1,CUZ00655,6170000
A1,CUZ00659,175000
A1,CUZ00661,475000
A1,CUZ00671,1634000
A1,CUZ00676,1945000
A1,CUZ00677,6919000
A1,CUZ00678,1065000
A1,CUZ00689,380000
A1,CUZ00691,4095000
A1,CUZ00692,1110000
A1,CUZ00695,790000
A1,CUZ00697,770000
A1,CUZ00698,2115000
A1,CUZ00699,1475000
A1,CUZ00700,4225000
A1,CUZ00702,1955000
A1,CUZ00704,2245000
A1,CUZ00706,5920000
A1,CUZ00707,2090000
A1,CUZ00709,2035000
A1,CUZ00711,8605000
A1,CUZ00713,2950000
A1,CUZ00719,4490000
A1,CUZ00720,1065000
A1,CUZ00723,3745000
A1,CUZ00724,995000
A1,CUZ00726,1765000
A1,CUZ00728,5699000
A1,CUZ00730,1145000
A1,CUZ00732,1929000
A1,CUZ00733,1314000
A1,CUZ00734,1450000
A1,CUZ00737,5570000
A1,CUZ00739,4274000
A1,CUZ00740,440000
A1,CUZ00742,6620000
A1,CUZ00743,5605000
A1,CUZ00746,1115000
A1,CUZ00748,5540000
A1,CUZ00752,3575000
A1,CUZ00753,520000
A1,CUZ00755,1925000
A1,CUZ00757,620000
A1,CUZ00763,1184000
A1,CUZ00773,4345000
A1,CUZ00776,1269000
A1,CUZ00784,6245000
A1,CUZ00791,875000
A1,CUZ00792,5805000
A1,CUZ00794,885000
A1,CUZ00799,4589000
A1,CUZ00800,2670000
A1,CUZ00804,7315000
A1,CUZ00807,3830000
A1,CUZ00809,5895000
A1,CUZ00813,4170000
A1,CUZ00817,2080000
A1,CUZ00821,675000
A1,CUZ00829,1035000
A1,CUZ00831,755000
A1,CUZ00832,2835000
A1,CUZ00835,925000
A1,CUZ00836,5535000
A1,CUZ00838,1010000
A1,CUZ00844,3150000
A1,CUZ00848,1295000
A1,CUZ00851,5433000
A1,CUZ00852,980000
A1,CUZ00856,805000
A1,CUZ00858,4634000
A1,CUZ00863,4870000
A1,CUZ00869,5085000
A1,CUZ00873,979000
A1,CUZ00875,1445000
A1,CUZ00881,5865000
A1,CUZ00882,1550000
A1,CUZ00887,570000
A1,CUZ00890,440000
A1,CUZ00895,1985000
A1,CUZ00896,730000
A1,CUZ00904,5950000
A1,CUZ00905,1230000
A1,CUZ00914,3505000
A1,CUZ00915,1470000
A1,CUZ00916,925000
A1,CUZ00920,4445000
A1,CUZ00921,1475000
A1,CUZ00924,965000
A1,CUZ00935,395000
A1,CUZ00936,800000
A1,CUZ00945,1055000
A1,CUZ00948,410000
A1,CUZ00957,1025000
A1,CUZ00959,855000
A1,CUZ00966,140000
A1,CUZ00967,4580000
A1,CUZ00968,1615000
A1,CUZ00972,3150000
A1,CUZ00973,1455000
A1,CUZ00975,6555000
A1,CUZ00976,3059000
A1,CUZ00983,1330000
A1,CUZ00984,620000
